timestamp,open,high,low,close,volume,macd,macd_signal,macd_hist,rsi,boll_mid,boll_upper,boll_lower,ema20,ema50,ema200
2025-03-15 01:00:00,84246.1,84545.4,84053.4,84304.5,3417.551,550.0329105862183,564.0190967953038,-13.986186209085417,61.38422720697299,83698.44,85406.52807291754,81990.35192708246,83706.02100527227,83010.92374110485,83734.8837144673
2025-03-15 02:00:00,84304.5,84589.7,84110.4,84505.4,4262.246,545.9668443487026,560.4086463059836,-14.441801957280973,63.37996209401198,83823.905,85366.07208423094,82281.73791576906,83782.15233822982,83069.54878814482,83742.55054317907
2025-03-15 03:00:00,84505.4,84625.0,84360.4,84439.9,3345.544,531.3342649602273,554.5937700368323,-23.259505076605024,62.25035861064422,83939.675,85278.97924808876,82600.37075191125,83844.79497277817,83123.30402776861,83749.48934374446
2025-03-15 04:00:00,84440.0,84520.0,84250.0,84413.1,2522.911,511.67701046646107,546.0104181227581,-34.33340765629703,61.76529716089571,84032.215,85217.73657613219,82846.69342386781,83898.91926115852,83173.89870935952,83756.09243485147
2025-03-15 05:00:00,84413.1,84438.7,84218.2,84218.3,2015.904,474.9053513505496,531.7894047683164,-56.884053417766836,58.2145073020785,84106.375,85123.91257230578,83088.83742769422,83929.3364744189,83214.866862469,83760.6915151017
2025-03-15 06:00:00,84218.2,84268.8,84126.0,84145.4,1873.243,434.8682361455867,512.4051710437705,-77.53693489818374,56.89628811405658,84163.645,85037.82770154788,83289.46229845213,83949.91395306855,83251.36797954918,83764.51946022507
2025-03-15 07:00:00,84145.4,84163.4,83752.9,83797.0,6489.566,370.75177304202225,484.0744914434208,-113.32271840139856,50.957475668839585,84193.35500000001,84964.33931815665,83422.37068184337,83935.35071942832,83272.77073409008,83764.84264967557
2025-03-15 08:00:00,83797.1,83997.0,83564.5,83854.9,6593.921,320.9117883840372,451.4419508315441,-130.53016244750688,51.856839410539024,84217.1,84907.66937911394,83526.53062088607,83927.68874614246,83295.60488889038,83765.73874271363
2025-03-15 09:00:00,83854.9,83937.7,83664.1,83927.4,3442.569,283.9897281781159,417.9515063008584,-133.9617781227425,53.01864176664467,84235.54999999999,84869.40888683715,83601.69111316283,83927.66124650983,83320.38696139795,83767.34731243787
2025-03-15 10:00:00,83927.3,83951.3,83620.0,83870.0,4059.864,247.24692096676154,383.81058923403907,-136.56366826727754,51.949735641432476,84254.25499999999,84813.95196866986,83694.55803133012,83922.16969921908,83341.94525622047,83768.36873221461
2025-03-15 11:00:00,83870.1,84143.9,83793.0,84054.8,4414.662,230.38407169250422,353.1252857257321,-122.74121403322789,55.089071357926485,84222.385,84748.67506320939,83696.0949367906,83934.80115644484,83369.90637842052,83771.21879458064
2025-03-15 12:00:00,84054.7,84228.1,83961.6,84093.1,4100.384,217.6022485422145,326.02067828902864,-108.41842974681413,55.734559488372135,84190.12,84659.22516652933,83721.01483347066,83949.87723679261,83398.2727942084,83774.42159264452
2025-03-15 13:00:00,84093.0,84442.0,84087.6,84406.4,4776.619,230.10079274090822,306.8367011794046,-76.73590843849638,60.70931894779352,84194.43999999999,84670.12639558928,83718.7536044107,83993.3555952173,83437.81507176875,83780.70993500626
2025-03-15 14:00:00,84406.3,84406.3,84065.0,84108.3,4393.41,213.4908127302624,288.1675234895762,-74.67671075931378,54.44011246209322,84173.35,84623.06922234737,83723.63077765264,84004.30268139255,83464.11363192795,83783.96953764302
2025-03-15 15:00:00,84108.4,84368.4,84104.9,84295.8,2870.803,213.00161593180383,273.1343419780217,-60.1327260462179,57.41863423887318,84162.735,84588.57359692719,83736.89640307281,84032.06433079629,83496.73478247557,83789.06237806448
2025-03-15 16:00:00,84295.7,84453.4,84150.0,84316.3,2994.207,211.82630076615897,260.87273373564915,-49.04643296949018,57.74390480898378,84174.35,84603.80320681474,83744.89679318527,84059.13439454105,83528.88027449581,83794.30852355639
